start_date,end_date,pollster,client,area,sample_size,conservative,labour,liberal_democrat,scottish_national_party,green,reform,other
2020-12-26,2020-12-30,Deltapoll,Daily Mirror,GB,1608,0.43,0.38,0.04,0.05,0.05,0.03,0.019999999999999907
2020-12-04,2020-12-29,Focaldata (MRP),NA,GB,22186,0.36,0.38,0.09,0.04,0.07,0.04,0.019999999999999907
2020-12-22,2020-12-22,Survation,NA,UK,1011,0.39,0.38,0.08,0.05,0.04,0.01,0.04999999999999993
2020-12-21,2020-12-22,YouGov,The Times,GB,1713,0.37,0.41,0.05,0.05,0.05,0.04,0.029999999999999916
2020-12-18,2020-12-21,SavantaComRes,Daily Express,UK,1433,0.41,0.39,0.08,0.05,0.04,0.02,0.010000000000000009
2020-12-16,2020-12-17,Opinium,The Observer,UK,2001,0.39,0.39,0.06,0.05,0.04,NA,0.06999999999999984
2020-12-15,2020-12-16,YouGov,The Times,GB,1898,0.39,0.37,0.06,0.05,0.06,0.04,0.029999999999999805
2020-12-10,2020-12-14,Kantar Public,NA,GB,1137,0.38,0.37,0.1,0.05,0.03,0.03,0.039999999999999925
2020-12-11,2020-12-13,SavantaComRes,NA,UK,1295,0.38,0.37,0.08,0.05,0.05,0.04,0.029999999999999916
2020-12-04,2020-12-10,Ipsos MORI,Evening Standard,GB,1027,0.41,0.41,0.06,0.05,0.05,0,0.020000000000000018
2020-12-04,2020-12-10,Survation,NA,UK,3452,0.39,0.37,0.08,0.05,0.05,0.01,0.04999999999999993
2020-12-08,2020-12-09,YouGov,The Times,GB,1699,0.37,0.37,0.08,0.05,0.06,0.05,0.019999999999999907
2020-11-27,2020-12-08,Opinium,The Observer,UK,6949,0.4,0.38,0.06,0.05,0.04,0,0.06999999999999984
2020-12-03,2020-12-04,Opinium,The Observer,UK,2002,0.38,0.4,0.06,0.06,0.03,NA,0.06999999999999984
2020-12-02,2020-12-03,YouGov,The Times,GB,1706,0.38,0.38,0.06,0.05,0.05,0.03,0.04999999999999982
2020-12-02,2020-12-02,Redfield & Wilton,NA,GB,2000,0.4,0.37,0.09,0.05,0.06,NA,0.029999999999999916
2020-11-27,2020-11-29,SavantaComRes,NA,UK,1428,0.39,0.38,0.08,0.05,0.03,0.03,0.039999999999999925
2020-11-26,2020-11-28,Deltapoll,Daily Mail,GB,1525,0.37,0.38,0.09,0.04,0.04,0.03,0.04999999999999993
2020-11-20,2020-11-28,Number Cruncher Politics,NA,GB,1001,0.39,0.37,0.07,0.05,0.05,0.04,0.029999999999999805
2020-11-26,2020-11-27,YouGov,The Times,GB,1696,0.37,0.4,0.05,0.06,0.05,0.05,0.019999999999999796
2020-11-20,2020-11-22,SavantaComRes,NA,UK,1272,0.39,0.37,0.07,0.05,0.04,0.03,0.04999999999999982
2020-11-19,2020-11-20,Opinium,The Observer,UK,2001,0.41,0.38,0.06,0.06,0.04,NA,0.050000000000000044
2020-11-19,2020-11-19,Redfield & Wilton,NA,GB,2500,0.4,0.39,0.08,0.05,0.04,NA,0.039999999999999925
2020-11-17,2020-11-18,YouGov,The Times,GB,1700,0.38,0.37,0.07,0.06,0.06,0.04,0.019999999999999796
2020-11-13,2020-11-15,SavantaComRes,NA,UK,2075,0.41,0.38,0.05,0.05,0.04,0.02,0.04999999999999993
2020-11-11,2020-11-12,YouGov,The Times,GB,1632,0.38,0.4,0.05,0.05,0.05,0.04,0.029999999999999805
2020-11-11,2020-11-11,Redfield & Wilton,NA,GB,2500,0.4,0.4,0.07,0.05,0.05,NA,0.029999999999999805
2020-11-06,2020-11-09,SavantaComRes,NA,UK,2130,0.4,0.36,0.08,0.05,0.05,0.02,0.039999999999999925
2020-11-05,2020-11-09,Kantar Public,NA,GB,1141,0.4,0.36,0.08,0.05,0.05,0.02,0.039999999999999925
2020-11-05,2020-11-06,Opinium,The Observer,UK,2003,0.38,0.42,0.07,0.05,0.03,NA,0.04999999999999982
2020-11-05,2020-11-06,Survation,NA,UK,1034,0.39,0.37,0.09,0.05,0.04,0.02,0.039999999999999925
2020-11-04,2020-11-05,YouGov,The Times,GB,1665,0.35,0.4,0.07,0.05,0.04,0.06,0.029999999999999805
2020-10-30,2020-11-02,SavantaComRes,NA,UK,2126,0.4,0.4,0.07,0.05,0.03,0.02,0.029999999999999805
2020-10-28,2020-10-29,YouGov,The Times,GB,1658,0.38,0.38,0.06,0.05,0.05,0.04,0.039999999999999813
2020-10-28,2020-10-28,Redfield & Wilton,NA,GB,3000,0.39,0.41,0.07,0.04,0.04,NA,0.050000000000000044
2020-10-22,2020-10-28,Ipsos MORI,Evening Standard,GB,1007,0.37,0.42,0.08,0.06,0.05,0.01,0.010000000000000009
2020-10-23,2020-10-26,SavantaComRes,NA,UK,2111,0.42,0.39,0.07,0.04,0.03,0.02,0.030000000000000027
2020-10-22,2020-10-24,Deltapoll,The Mail on Sunday,GB,1589,0.42,0.39,0.07,0.03,0.03,0.03,0.030000000000000027
2020-10-22,2020-10-23,Opinium,The Observer,UK,2002,0.38,0.4,0.06,0.05,0.05,NA,0.05999999999999983
2020-10-21,2020-10-22,YouGov,The Times,GB,1665,0.4,0.39,0.07,0.05,0.05,0.03,0.009999999999999787
2020-10-21,2020-10-21,Redfield & Wilton,NA,GB,3000,0.4,0.4,0.07,0.05,0.04,NA,0.039999999999999813
2020-10-16,2020-10-18,SavantaComRes,NA,UK,2274,0.42,0.36,0.08,0.04,0.03,0.02,0.050000000000000044
2020-10-09,2020-10-17,Number Cruncher Politics,Peston,GB,2088,0.41,0.38,0.05,0.05,0.06,0.04,0.009999999999999898
2020-10-14,2020-10-15,YouGov,The Times,GB,1675,0.39,0.38,0.06,0.05,0.06,0.05,0.009999999999999787
2020-10-09,2020-10-11,SavantaComRes,NA,UK,2123,0.39,0.39,0.07,0.05,0.04,0.03,0.029999999999999805
2020-10-08,2020-10-09,Opinium,The Observer,UK,2001,0.4,0.4,0.06,0.06,0.03,NA,0.04999999999999982
2020-10-06,2020-10-07,Redfield & Wilton,NA,GB,3000,0.41,0.39,0.08,0.04,0.04,NA,0.040000000000000036
2020-10-06,2020-10-07,YouGov,The Times,GB,1673,0.41,0.38,0.05,0.05,0.06,0.03,0.019999999999999907
2020-10-05,2020-10-06,Survation,NA,UK,1022,0.41,0.37,0.07,0.04,0.04,0.01,0.06000000000000005
2020-10-02,2020-10-04,SavantaComRes,NA,UK,2081,0.42,0.39,0.07,0.04,0.03,0.02,0.030000000000000027
2020-09-30,2020-10-01,Redfield & Wilton,NA,GB,4000,0.39,0.39,0.08,0.05,0.05,NA,0.039999999999999925
2020-09-29,2020-09-30,YouGov,The Times,GB,1700,0.39,0.39,0.06,0.05,0.05,0.04,0.019999999999999796
2020-09-25,2020-09-28,SavantaComRes,NA,UK,2112,0.41,0.38,0.08,0.05,0.03,0.02,0.030000000000000027
2020-09-24,2020-09-25,Deltapoll,The Mail on Sunday,GB,1583,0.42,0.38,0.06,0.05,0.04,0.03,0.020000000000000018
2020-09-23,2020-09-25,Opinium,The Observer,UK,2002,0.39,0.42,0.05,0.06,0.04,NA,0.040000000000000036
2020-09-23,2020-09-24,YouGov,The Times,GB,1623,0.41,0.38,0.06,0.04,0.05,0.03,0.030000000000000027
2020-09-22,2020-09-23,Redfield & Wilton,NA,GB,2500,0.4,0.4,0.07,0.04,0.05,NA,0.039999999999999813
2020-09-17,2020-09-21,Kantar Public,NA,GB,1125,0.4,0.38,0.09,0.04,0.04,0.03,0.019999999999999907
2020-09-18,2020-09-20,SavantaComRes,NA,UK,2109,0.4,0.37,0.08,0.05,0.03,0.03,0.039999999999999925
2020-09-11,2020-09-18,Ipsos MORI,Evening Standard,GB,1013,0.4,0.37,0.08,0.07,0.05,0,0.030000000000000027
2020-09-16,2020-09-17,YouGov,The Times,GB,1618,0.4,0.4,0.06,0.04,0.05,0.03,0.019999999999999796
2020-09-15,2020-09-16,Survation,NA,UK,1003,0.4,0.38,0.07,0.05,0.04,0.01,0.04999999999999982
2020-09-15,2020-09-16,Redfield & Wilton,NA,GB,2500,0.41,0.39,0.08,0.05,0.05,NA,0.020000000000000018
2020-09-09,2020-09-11,Opinium,The Observer,GB,2001,0.42,0.39,0.06,0.05,0.04,NA,0.040000000000000036
2020-09-08,2020-09-09,YouGov,The Times,GB,1615,0.42,0.37,0.06,0.05,0.04,0.03,0.030000000000000027
2020-09-04,2020-09-08,Number Cruncher Politics,Bloomberg,GB,1001,0.42,0.38,0.06,0.05,0.05,0.02,0.020000000000000018
2020-09-03,2020-09-04,YouGov,The Times,GB,1633,0.43,0.37,0.06,0.06,0.04,0.03,0.010000000000000009
2020-09-02,2020-09-04,Survation,NA,UK,1047,0.4,0.38,0.08,0.05,0.04,0.01,0.039999999999999925
2020-09-01,2020-09-02,Redfield & Wilton,NA,GB,2500,0.43,0.37,0.08,0.04,0.04,NA,0.040000000000000036
2020-08-26,2020-08-28,Opinium,The Observer,GB,2002,0.4,0.4,0.06,0.05,0.03,NA,0.05999999999999983
2020-08-24,2020-08-25,YouGov,The Times,GB,1669,0.43,0.36,0.06,0.05,0.04,0.03,0.030000000000000027
2020-08-24,2020-08-24,Redfield & Wilton,NA,GB,2000,0.42,0.37,0.09,0.04,0.05,NA,0.030000000000000027
2020-08-21,2020-08-21,Survation,NA,UK,1005,0.41,0.37,0.09,0.05,0.04,0.01,0.030000000000000027
2020-08-19,2020-08-19,Redfield & Wilton,NA,GB,2000,0.44,0.37,0.07,0.04,0.04,NA,0.040000000000000036
2020-08-18,2020-08-19,YouGov,The Times,GB,1652,0.4,0.38,0.06,0.05,0.06,0.04,0.009999999999999787
2020-08-14,2020-08-16,SavantaComRes,NA,UK,2083,0.42,0.37,0.07,0.04,0.03,0.02,0.050000000000000044
2020-08-13,2020-08-14,Opinium,The Observer,GB,2005,0.42,0.39,0.05,0.05,0.03,NA,0.05999999999999994
2020-08-12,2020-08-12,Redfield & Wilton,NA,GB,2000,0.43,0.36,0.09,0.04,0.04,NA,0.040000000000000036
2020-08-11,2020-08-12,YouGov,The Times,GB,1634,0.44,0.35,0.05,0.06,0.05,0.03,0.020000000000000018
2020-08-06,2020-08-10,Kantar Public,NA,GB,1161,0.42,0.35,0.08,0.06,0.03,0.03,0.030000000000000027
2020-08-04,2020-08-05,YouGov,The Times,GB,1606,0.42,0.36,0.08,0.05,0.05,0.02,0.020000000000000018
2020-07-30,2020-08-04,Ipsos MORI,Evening Standard,GB,1019,0.45,0.37,0.06,0.05,0.05,0.01,0.010000000000000009
2020-07-31,2020-08-03,Survation,NA,UK,1019,0.44,0.35,0.08,0.04,0.05,0,0.040000000000000036
2020-07-30,2020-07-31,YouGov,The Times,GB,1623,0.43,0.35,0.06,0.05,0.05,0.03,0.030000000000000027
2020-07-30,2020-07-31,Opinium,The Observer,GB,2002,0.41,0.38,0.06,0.06,0.04,NA,0.050000000000000044
2020-07-29,2020-07-29,Redfield & Wilton,NA,GB,2000,0.43,0.38,0.07,0.04,0.04,NA,0.040000000000000036
2020-07-23,2020-07-24,Opinium,The Observer,GB,2002,0.42,0.38,0.06,0.05,0.04,NA,0.050000000000000044
2020-07-22,2020-07-23,YouGov,The Times,GB,1648,0.44,0.35,0.07,0.05,0.04,0.03,0.020000000000000018
2020-07-22,2020-07-22,Redfield & Wilton,NA,GB,2000,0.44,0.36,0.08,0.04,0.05,NA,0.030000000000000027
2020-07-17,2020-07-19,SavantaComRes,NA,UK,2085,0.43,0.37,0.06,0.05,0.02,0.02,0.04999999999999982
2020-07-15,2020-07-17,Opinium,The Observer,GB,2003,0.44,0.36,0.06,0.06,0.04,NA,0.040000000000000036
2020-07-15,2020-07-15,Redfield & Wilton,NA,GB,2000,0.44,0.37,0.08,0.04,0.04,NA,0.030000000000000027
2020-07-09,2020-07-13,Kantar Public,NA,GB,1131,0.45,0.35,0.09,0.05,0.02,0.02,0.019999999999999907
2020-07-10,2020-07-12,Survation,NA,UK,2022,0.42,0.36,0.08,0.04,0.05,0.01,0.040000000000000036
