start_date,end_date,pollster_client,sample_size,conservative,green,labour,liberal_democrat,scottish_national_party,ukip,other
2015-12-18,2015-12-20,ICM/The Guardian,1003,0.39,0.03,0.34,0.07,0.04,0.1,0.03
2015-12-17,2015-12-18,YouGov/The Times,1598,0.39,0.03,0.29,0.06,0.05,0.17,0.01
2015-12-15,2015-12-18,Opinium/Observer,1936,0.38,0.05,0.3,0.05,0.06,0.16,0
2015-12-12,2015-12-14,Ipsos MORI/Evening Standard,1040,0.38,0.06,0.31,0.09,0.05,0.09,0.02
2015-12-11,2015-12-13,ComRes/Daily Mail,1001,0.37,0.05,0.33,0.07,0.04,0.11,0.03
2015-12-09,2015-12-11,"ComRes/Independent on Sunday, Sunday Mirror",2049,0.4,0.03,0.29,0.07,0.04,0.16,0.01
2015-11-30,2015-12-01,YouGov/The Times,1657,0.41,0.03,0.3,0.06,0.04,0.16,0
2015-11-20,2015-11-24,YouGov,4317,0.38,0.03,0.29,0.06,0.05,0.17,0.02
2015-11-20,2015-11-22,ComRes/Daily Mail,1000,0.4,0.03,0.29,0.08,0.04,0.11,0.05
2015-11-18,2015-11-20,"ComRes/Independent on Sunday, Sunday Mirror",2067,0.42,0.03,0.27,0.07,0.05,0.15,0.01
2015-11-16,2015-11-17,Survation/Leave.EU[d],1546,0.37,0.03,0.3,0.06,0.05,0.16,0.03
2015-11-14,2015-11-17,Ipsos MORI/Evening Standard,1021,0.41,0.04,0.34,0.07,0.06,0.07,0.01
2015-11-11,2015-11-17,BMG Research,1334,0.37,0.04,0.3,0.07,0.04,0.15,0.03
2015-11-13,2015-11-15,ICM/The Guardian,1006,0.39,0.03,0.33,0.07,0.05,0.12,0.01
2015-11-09,2015-11-11,Survation/Leave.EU[d],2007,0.36,0.03,0.3,0.07,0.05,0.15,0.04
2015-10-22,2015-10-27,BMG Research,1467,0.37,0.05,0.31,0.06,0.04,0.15,0.02
2015-10-23,2015-10-25,ComRes/Daily Mail,1002,0.38,0.03,0.33,0.08,0.03,0.1,0.05
2015-10-17,2015-10-19,Ipsos MORI/Evening Standard,1021,0.36,0.03,0.32,0.1,0.05,0.12,0.02
2015-10-13,2015-10-16,Opinium,1934,0.37,0.04,0.32,0.05,0.06,0.15,0.01
2015-10-14,2015-10-15,"ComRes/Independent on Sunday, Sunday Mirror",2051,0.42,0.03,0.29,0.07,0.05,0.13,0.01
2015-10-09,2015-10-11,ICM/The Guardian,1002,0.38,0.03,0.34,0.07,0.05,0.11,0.02
2015-09-29,2015-09-30,YouGov/The Sun,2064,0.37,0.02,0.31,0.07,0.05,0.17,0.01
2015-09-26,2015-09-28,ComRes/Daily Mail,1009,0.39,0.04,0.3,0.09,0.04,0.12,0.02
2015-09-21,2015-09-22,Survation/Huffington Post,1008,0.37,0.03,0.32,0.09,0.05,0.13,0.01
2015-09-19,2015-09-22,Ipsos MORI/Evening Standard,1255,0.39,0.04,0.34,0.09,0.05,0.07,0.02
2015-09-17,2015-09-18,YouGov/Sunday Times,1601,0.39,0.03,0.31,0.06,0.05,0.16,0
2015-09-15,2015-09-18,Opinium,1942,0.37,0.04,0.32,0.06,0.05,0.14,0.02
2015-09-16,2015-09-17,"ComRes/Independent on Sunday, Sunday Mirror",2015,0.42,0.03,0.3,0.07,0.05,0.13,0
2015-09-11,2015-09-13,ICM/The Guardian,1006,0.38,0.03,0.32,0.08,0.05,0.13,0.01
2015-09-03,2015-09-04,Survation/Mail on Sunday,1004,0.38,0.04,0.32,0.06,0.05,0.13,0.02
2015-08-21,2015-08-23,ComRes/Daily Mail,1001,0.42,0.06,0.28,0.08,0.05,0.09,0.02
2015-08-12,2015-08-13,"ComRes/Independent on Sunday, Sunday Mirror",2035,0.4,0.04,0.29,0.08,0.05,0.13,0.01
2015-08-12,2015-08-13,Survation/TSSA,1007,0.38,0.03,0.33,0.06,0.05,0.15,0
2015-08-07,2015-08-09,ICM/The Guardian,1000,0.4,0.04,0.31,0.07,0.05,0.1,0.03
2015-07-24,2015-07-26,ComRes/Daily Mail,1001,0.4,0.05,0.28,0.07,0.05,0.1,0.05
2015-07-18,2015-07-20,Ipsos MORI/Evening Standard,1026,0.37,0.08,0.31,0.1,0.05,0.09,0
2015-07-10,2015-07-12,ICM/The Guardian,1005,0.38,0.04,0.34,0.06,0.04,0.13,0.01
2015-06-26,2015-06-28,ComRes/Daily Mail,1002,0.39,0.06,0.27,0.09,0.05,0.11,0.03
2015-06-14,2015-06-16,Ipsos MORI/Evening Standard,1005,0.39,0.06,0.3,0.09,0.05,0.08,0.03
2015-06-12,2015-06-14,ICM/The Guardian,1004,0.37,0.05,0.31,0.08,0.05,0.13,0.01
2015-05-29,2015-05-31,ComRes/Daily Mail,1000,0.41,0.05,0.29,0.08,0.05,0.1,0.02
2015-05-25,2015-05-26,YouGov/The Sun,1709,0.41,0.04,0.3,0.07,0.04,0.13,0.01
2015-05-08,2015-05-09,Survation/Mail on Sunday,1027,0.4,0.03,0.31,0.06,0.05,0.12,0.03
